ttl,bg,max_hp,init_skill,init_luck,init_food,theme
Time Capsule -Adventure of the Graduation Day- タイムカプセル,img/bgi_room.png,20,7,9,2,8

id,type,text,options,e_name,e_skill,e_hp,next,bgm,bgi,effect
1,normal,"Just yesterday, I finished my graduation ceremony at the elementary school I’d attended for six years, and as of today, I have proudly attained the status of being 'unemployed.' Last night, three friends and I secretly drank non-alcoholic beer and stayed up all night, feeling as lightheaded as if we were actually drunk. Waking up at 10:00 AM with that lingering feeling, I felt the languid spring air and decided to go for a bike ride to clear my head. The sense of liberation from no longer having to go to school mixed complexly with a twinge of sadness that I could never go back. My destination wasn't decided yet, but I had to be home by dinner. It felt like my ample free time until April was actually condensed into these next few hours. \n\n昨日、六年間通い慣れた小学校の卒業式を終えたばかりの僕は、今日から晴れて「無職」という身分になった。\n昨夜は友達三人とこっそりノンアルコールビールを飲み、まるで本物の酒に酔ったような浮かれた気分で騒ぎ明かした。\nその余韻を引きずったまま午前十時に目を覚ました僕は、春特有のけだるい空気を感じながら、気晴らしにサイクリングへ出かけることに決めた。\n小学校へはもう通わなくていいという解放感と、同時にもう二度と通えないのだという一抹の寂しさが胸の中で複雑に混ざり合っている。\n目的地はまだ決まっていないが、夕飯の時間までには家に戻らなければならない。\n僕の自由な時間は四月までたっぷりとあるように見えて、実は今この数時間に凝縮されているような気がした。","Leave the house(家を出る)→2",,,,,bgm_peace.mp3,img/bgi_room.png,
2,normal,"My dual-income parents had already left for work, and the house was deathly quiet. Naturally, no lunch had been prepared, so I scavenged the kitchen to satisfy my hunger. I found a plain slice of bread and a single boiled egg in a basket. I threw them haphazardly into a lunch box and stuffed it at the bottom of my backpack. I put on a sweater and pulled my favorite hat down low. Well then, shall I go? Thinking about where to go would be a waste of precious time. With my current leg strength, I should be able to make a round trip to a place about three hours away. I decided to dash out of the house and figure out the specific destination in the wind while pedaling. \n\n共働きの両親はすでに仕事に出ていて、家の中はしんと静まり返っている。\n当然ながら昼食の支度などしてあるはずもなく、僕は空腹を満たすために台所を物色した。\n見つけたのは何の変哲もない食パン一枚と、籠に入っていたゆで卵が一玉。\nそれらを無造作に弁当箱へ放り込むと、中身が動かないようにバックパックの底へ押し込んだ。\nセーターを着込み、お気に入りの帽子を深く被る。\nさてと、行くか。\nどこへ行こうかと考えていては、刻一刻と過ぎていく貴重な時間がもったいない。\n片道三時間程度の場所までなら、今の僕の脚力なら十分に行って帰ってこれるはずだ。\nとにかく家を飛び出して、具体的な目的地は自転車を漕ぎながら風の中で考えることにした。","Go to the entrance(玄関へ向かう)→3,Go back to the room(部屋へもどる)→211",,,,,bgm_peace.mp3,img/bgi_room.png,
211,normal,"I return to my room and readjust my gear. However, having a resolution waver once is draining, both mentally and physically. Feeling a bit irritated by my own indecision, I fired myself up again. \n\n部屋へ戻り、もう一度身支度を整え直す。\nしかし、一度決めた決心が揺らぐのは、精神的にも体力的にも消耗するものだ。\n僕は自分の優柔不断さに少しだけ苛立ちを覚えながら、再び気合を入れ直した。","Pull myself together(気を取り直す)→1",,,,,bgm_peace.mp3,img/bgi_room.png,hp-1
3,normal,"As I casually glanced at the mailbox on my way out, three envelopes had arrived. One was a cram school solicitation for junior high, another was a mail-order catalog. And the last one made me tilt my head. It was addressed to 'Kevin Adams, 795-2 Noyama, Gunjyo City.' My house is '2-5-21 Omachi, Gunjyo City,' so both the address and name were completely different. It was a clear misdelivery, but I couldn't just leave it. Though I felt it was a bit of a hassle, I decided to stop by the nearby post office first to correct this mistake. The pre-noon streets bathed in spring sunlight were peaceful and calm, as if blessing me on the day after my graduation. Entering the post office, the cool, distinct smell of paper welcomed me. \n\n家を出る際に何気なくポストを覗くと、三通の封書が届いていた。\n一つは早速やってきた中学の塾の勧誘、もう一つは通信販売のカタログ。\nそして最後の一通を見て、僕は首を傾げた。\n「群青市野山795-2 足立和彦行き」とある。\n僕の家は「群青市大町2-5-21」だから、住所も名前も全くの別物だ。\n明らかな誤配だが、放っておくわけにもいかない。\n僕は少々面倒くさいなと思いながらも、まずは近くの郵便局へ寄ってこの間違いを正すことにした。\n春の陽光が降り注ぐ昼前の街並みは、卒業式翌日の僕を祝福しているかのように、実に閑かで穏やかな空気に満ちていた。\n郵便局の入り口をくぐると、ひんやりとした独特の紙の匂いが僕を迎えてくれた。","To the post office(郵便局へ)→4,Go back inside the house(家の中へもどる)→311",,,,,bgm_peace.mp3,img/bgi_post.png,
311,normal,"I close the front door and check the atmosphere of the house once more. I haven't forgotten anything, but each time I turn back, I feel the momentum of my adventure slipping away. I let out a small sigh and stepped out into the outside light again. \n\n玄関の扉を閉め、もう一度家の空気を確認する。\n忘れ物はないはずだが、足取りが戻るたびに、せっかくの冒険の勢いが削がれていくのを感じる。\n僕は小さくため息をつき、再び外の光の中へと踏み出した。","Proceed again(再び進む)→2",,,,,bgm_peace.mp3,img/bgi_post.png,hp-1
4,normal,"When I handed over the envelope at the counter saying, 'This was delivered by mistake,' a middle-aged clerk with glasses turned around slowly from his computer. The clerk took the letter and looked it over thoroughly. According to him, the destination address was an old place name from before the area was rezoned. When the clerk turned the letter over, there was a sender's name: 'From Kevin Adams, Elementary Schooler.' The clerk looked surprised and called out to his colleague. 'Hey, look at this, it's a time capsule! How nostalgic, it's been 30 years.' He said the special mark next to the stamp was proof. A special personal letter sent by a child 30 years ago to his future self. The moment I learned that fact, a flame of curiosity ignited in my heart. \n\n窓口で「間違って届いたんです」と言って封筒を差し出すと、コンピューターに向かっていた中年の眼鏡をかけた局員がゆっくりと振り向いた。\n局員は手紙を手に取り、「どれどれ」と隅々まで眺める。\n彼によれば、宛先の住所は区画整理される前の古い地名らしい。\n局員がさらに手紙を裏返すと、そこには「小学生の足立和彦より」という差出人名があった。\n局員は驚いた表情で隣の席の同僚に声をかけた。\n「おい、見てみなよ、これはタイムカプセルだよ！懐かしいなあ、もう30年も経ったのか。」\n切手の横にある特殊なマークがその証拠だという。\n30年前の子供が30年後の自分へ宛てて出した、特別な親書。\nその事実を知った瞬間、僕の心の中に好奇心の火が灯った。","Ask for details(詳しく聞く)→5,Go back outside(表へもどる)→411",,,,,bgm_talk.mp3,img/bgi_postoffice.png,
411,normal,"I exit through the post office's automatic doors and breathe the outside air. Each time I turn back, the sense of duty to deliver this letter feels like a slightly heavier burden. I scolded my indecisive feet and headed back to the counter. \n\n郵便局の自動ドアを出て、外の空気を吸う。\n引き返すたびに、この手紙を届けるという使命感が少しずつ重荷に感じられてくる。\n僕は自分の優柔不断な足を叱りつけ、再び局の窓口へと向かった。","Proceed again(再び進む)→3",,,,,bgm_talk.mp3,img/bgi_postoffice.png,hp-1
5,normal,"When I asked, 'What's a time capsule?' the clerks began to talk excitedly. Apparently, there was once a large-scale project where children sent messages to their future selves. Letters from 200 people chosen by lottery were packed into a sturdy metal sphere and shipped 30 years later. One clerk even shared his disappointment at losing the lottery and his failure of burying his own time capsule in a vacant lot, only for an apartment building to be built over it. Usually, the post office would keep it and send it to the regional department of the ward office, but a flash of inspiration hit me, and I blurted out. 'Oh, in that case, I have business at the ward office after this, so I'll deliver it responsibly!' I couldn't suppress the urge to deliver this letter with my own hands. \n\n「タイムカプセルって何なんですか」と僕が尋ねると、局員たちは嬉々として語り始めた。\nかつて、子供たちが未来の自分へメッセージを贈る大掛かりな事業があったのだという。\n頑丈な金属の球の中に、抽選で選ばれた二百人分の手紙を詰め込み、30年の時を経て発送されたのだ。\n局員自身も抽選に外れた悔しさを語り、自分だけのタイムカプセルを空き地に埋めたが、その上にマンションが建ってしまったという失敗談まで披露してくれた。\n通常であれば局で預かり、区役所の地域課へ回すのが決まりだが、僕はふと閃いて、とっさにこう言った。\n「あ、それなら、僕がこの後区役所に行く用事があるので、責任を持って届けてきます！」\nこの手紙を自分の手で届けたいという衝動が抑えられなかった。","To the ward office(区役所へ)→6,Backtrack the conversation(話をもどす)→511",,,,,bgm_adventure.mp3,img/bgi_past.png,
511,normal,"I interrupt the clerk's story once to organize my thoughts. Hearing the same story repeatedly drains mental energy. I sharpened my curiosity once more and listened to the clerk's words. \n\n局員の話を一度遮り、思考を整理する。\n同じ話を何度も聞き直すのは、精神的なエネルギーを消耗させる。\n僕は自分の好奇心をもう一度研ぎ澄ませ、局員の言葉に耳を傾けることにした。","Pull myself together(気を取り直す)→4",,,,,bgm_adventure.mp3,img/bgi_postoffice.png,hp-1
6,normal,"Practically snatching the letter from the postal clerk, I sped my bike to the ward office. Nice, very nice. It’s becoming interesting, as if the boring daily life until yesterday was a lie. This is definitely an adventure. On the very first day after graduating from elementary school, I took on a mission all my own that no one asked for. At the ward office, I told a transparent lie to the woman at the counter, saying it belonged to 'a long-lost uncle,' and had her look up Kevin's current address. The clerk squinted nostalgically and handed me a slip of paper with a laugh, saying, 'Oh, that gives away my age.' What was written there was 'The City of Stone' in Mizune Prefecture. It would take three hours by bike. A 50km trip to the neighboring prefecture. I unhesitatingly opened my atlas and mapped out the adventure route in my mind. \n\n郵便局員から手紙を奪い取るようにして受け取ると、僕は区役所へと自転車を猛スピードで走らせた。\nいいね、実にいい。\n昨日までの退屈な日常が嘘のように、面白いことになってきた。\nこれは間違いなく冒険だ。\n小学校を卒業して第一日目、僕は誰にも頼まれていない自分だけの任務を背負ったのだ。\n区役所では窓口の女性に「生き別れの叔父のものだ」という見え透いた嘘をついて、足立和彦さんの現在の住所を調べてもらった。\n所員は懐かしそうに目を細め、「あら、歳がばれちゃうわね」と笑いながら一枚の紙を差し出した。\nそこに書かれていたのは瑞畝県の石の都。\n自転車で三時間はかかるという。\n隣県までの５０キロの旅。\n僕は迷わず地図帳を広げ、冒険のルートを脳内に描き出した。","Depart on adventure(冒険に出発)→7,Go back to the post office(局へもどる)→611",,,,,bgm_talk.mp3,img/bgi_office.png,
611,normal,"I stop in the air-conditioned lobby of the ward office. I reflect on the exchange at the post office, but the sensation of returning the way I came is accompanied by a certain emptiness. I gripped the memo in my hand and reaffirmed my resolve for the adventure. \n\n区役所の冷房の効いたロビーで立ち止まる。\n郵便局でのやり取りを思い返すが、一度進んだ道を戻る感覚は、どこか虚しさを伴う。\n僕は手元のメモを握りしめ、再び冒険への決意を固めた。","Proceed again(再び進む)→5",,,,,bgm_talk.mp3,img/bgi_office.png,hp-1
