id,type,text,options,e_name,e_skill,e_hp,next,bgm,bgi,effect
1,normal,"「銀河狐駅」の改札を出て北口へ向かう。そこから緩やかな坂道を五分ほど歩くと、巨大な石造りの門と、夜には青く光るという狐の石像が見えてくる。ここが「銀河狐商店街」の入り口だ。かつて銀河鉄道のモデルになったという噂もあるこの街を、今日は独りで気ままに探索してみよう。","商店街へ進む→2",,,,,mp3/bgm_stroll.mp3,img/bgi_station.png,
2,normal,"商店街のメインストリートに入ると、どこか懐かしい昭和レトロな看板と、モダンなカフェが調和した景観が広がっている。独り歩きにはちょうど良い喧騒と静寂が入り混じっており、自由な時間がここにある。まずは食べ歩きか、それとも歴史的な名所を巡るか、気の向くままに足を進めてみよう。","B級グルメを食べる→3,和菓子屋に寄る→4,名物食堂へ行く→5,歴史ある噴水へ→6,文豪の生家を訪ねる→7,商店街の最奥へ(エンディング)→10",,,,,mp3/bgm_stroll.mp3,img/bgi_gate.png,
3,normal,"路地裏から漂う香ばしい匂いに誘われると、そこには名物「狐の尻尾揚げ」の屋台がある。これは特製の長い春巻きに地元の挽肉とスパイスを詰め込んだB級グルメで、カリッとした食感と溢れる肉汁がたまらない。片手に熱々の揚げ物を持ち、誰に気兼ねすることなく頬張る時間は、独り歩き最大の贅沢だ。","尻尾揚げを食べる→31,商店街へ戻る→2",,,,,mp3/bgm_stroll.mp3,img/bgi_snack.png,eat
31,normal,"スパイシーな肉の旨みが口いっぱいに広がり、歩き疲れた体にエネルギーが充填されていく。揚げたての熱さにハフハフと息をつきながら、次は何を食べようかと考えるのも楽しい。この街の味を一つ制覇した満足感に浸りながら、再び賑やかな通りへと繰り出していくことにしよう。","他の場所へ→2",,,,,mp3/bgm_stroll.mp3,img/bgi_snack.png,food+1
4,normal,"ひっそりと佇む老舗和菓子店「星屑堂」の暖簾をくぐる。ここには、薄紫色の餡が美しい『銀河最中』があり、お土産として非常に人気が高い。店内には独り客でも居心地が良い小さな茶屋スペースが併設されており、お茶と共に季節の生菓子を味わうことができる。静かな空間で甘味を楽しみ、心を整えよう。","最中を買う→41,商店街へ戻る→2",,,,,mp3/bgm_stroll.mp3,img/bgi_wagashi.png,
41,normal,"丁寧に包装された最中の箱を受け取ると、そのずっしりとした重みに伝統を感じる。自分へのご褒美にするか、大切な誰かに分けるか、そんなことを考えながら店を出る。上品な甘さの後味を楽しみつつ、また一歩、この街の奥深くへと踏み入る準備は万端だ。","他の場所へ→2",,,,,mp3/bgm_stroll.mp3,img/bgi_wagashi.png,luck+1
5,normal,"古びた外観が信頼を感じさせる「月光食堂」に入ってみる。ここの名物メニューは、創業時から変わらぬ味を守り続けているという「漆黒のハヤシライス」だ。じっくりと煮込まれたデミグラスソースの深いコクと、とろけるような牛肉の食感は、一度食べれば忘れられない。独りで静かに食と向き合う至福の時を過ごせる。","ハヤシライスを食べる→51,商店街へ戻る→2",,,,,mp3/bgm_stroll.mp3,img/bgi_diner.png,eat
51,normal,"深いコクのあるソースが喉を通るたび、長年愛されてきた理由がよくわかる。店内の振り子時計の音を聞きながら、ゆっくりと食事を楽しむ。お腹がすっかり満たされ、体温が少し上がったような感覚だ。会計を済ませて外に出ると、夕暮れ近い商店街の空気が少しだけ違って見える。","他の場所へ→2",,,,,mp3/bgm_stroll.mp3,img/bgi_diner.png,hp+5
6,normal,"商店街の広場の中央には、百年の歴史を持つという「星降る噴水」が水を湛えている。かつての職人が星座をモチーフに彫り上げたという緻密な彫刻は、水の流れとともに幻想的な表情を見せる。ベンチに座り、独りで水の音に耳を傾けていると、日々の忙しさが洗い流されていくような穏やかな心地になる。","さらに眺める→61,商店街へ戻る→2",,,,,mp3/bgm_history.mp3,img/bgi_fountain.png,
61,normal,"水面に反射する光が周囲の建物を照らし出し、時が止まったかのような錯覚に陥る。ふと噴水の底を見ると、人々の願いが込められたコインがいくつか光っていた。自分も小さな祈りを込めて、噴水を後にする。この静かな休息が、歩き続ける足取りを軽くしてくれるだろう。","他の場所へ→2",,,,,mp3/bgm_history.mp3,img/bgi_fountain.png,hp+2
