id,type,text,options,e_name,e_skill,e_hp,next,bgm,bgi,effect
1,normal,"ようこそSTORYEMゲームブック制作ガイドへ！\nここでは4つのステップでゲーム制作を学びます。\n\nまずは「①サンプルゲームを遊ぶ方法」から始めましょう。","進む→2",,,,,bgm_main.mp3,bg_start.jpg,
2,normal,"まずはnote記事からSTORYEMをダウンロードしましょう。\n\n解凍したフォルダ内にある「index.html」をブラウザで開くだけで準備完了です。","次へ→3",,,,,,,
3,normal,"画面が表示されたら「▼menu」を開いて「既定のサンプルを入力欄に反映する」→「貼り付けた内容を解析してゲームを開始する」を順に押します。\n\nこれが内蔵サンプル「封印庫の冒険」です。","次へ→4",,,,,,,
4,normal,"ゲーム中は選択肢を選んで進みます。\n\nステータス画面でHPや食料を確認しながら、慎重に読み進めるのがコツです。","次へ→5",,,,,,,
5,normal,"「封印庫の冒険」を無事に体験できましたか？\n\n理解度チェックとして、システムのバグ（仮想敵）を排除してみましょう！","戦う→6",,,,,,,eat
6,battle,"理解度チェック：基本操作のバグが襲ってきた！","デバッグする",操作バグ,6,4,7,bgm_battle.mp3,,
7,normal,"お見事！次は「②同梱シナリオを読み込む方法」です。\n\nフォルダ内の「rule.csv」「scenario.csv」を読み込む手順を学びましょう。","次へ→8",,,,,bgm_main.mp3,bg_folder.jpg,
8,normal,"menu内のルールCSVの「ファイルを選択」ボタンを押し、そこで「rule.csv」を選びましょう。\n\n続いて同様にシナリオCSVの「ファイルを選択」ボタンを押し、そこで「scenario.csv」を選びましょう。","次へ→9",,,,,,,
9,normal,"これでゲーム内容が「封印洞窟の冒険」に切り替わります。\n「封印庫の冒険」の改良版で、画像や音声も付いています。\n\nこのように、外部CSVファイルでルールやシナリオを読み込んで、遊ぶゲームを変えられるのがSTORYEMの強みです。","次へ→10",,,,,,,
10,normal,"外部CSVを使う際は、画像やBGMのファイル名が間違っていないか注意が必要です。\n\nファイルがないと画像表示やBGM再生がされません。","次へ→11",,,,,,,
11,normal,"外部読み込みの仕組みは理解できましたか？\n\nそれでは、読み込みエラーの精霊を倒して次へ進みましょう。","戦う→12",,,,,,,eat
12,battle,"理解度チェック：読み込みエラーが立ちはだかる！","修正する",エラー精霊,7,5,13,bgm_battle.mp3,,
13,normal,"素晴らしい。\n\n次は「③STORYEM studioで自作する方法」です。\nブラウザ上で直感的にシナリオを作れる専用ツールを紹介します。","次へ→14",,,,,bgm_main.mp3,bg_studio.jpg,
14,normal,"「▼menu」内のボタンから「STORYEM studio」を開き、作りたいゲームを自由な文章で入力して、AIの起動ボタンを押します。\n\nChatGPTかGeminiが選べます。","次へ→15",,,,,,,
15,normal,"AIが起動したら、クリップボード内に命令文（プロンプト）が記憶されているので、画面内のチャット入力欄に、貼り付けましょう。","次へ→16",,,,,,,
16,normal,"AIがルールCSVとシナリオCSVを生成してくれますので、メモ帳などのテキストエディタに貼り付け、「rule_ゲーム名.csv」や「scenario_ゲーム名.csv」のように自由な名前で好きな場所に保存しましょう。\n保存する際は文字コードをutf-8にするのをお忘れなく。\n\nWebサーバーにアップしたい場合は、本体index.htmlと同じ階層に\n「rule.csv」「scenario.csv」の固定ファイル名で保存して、フォルダごとアップしましょう。","次へ→17",,,,,,,
17,normal,"ツールを使いこなせそうですか？\n\n制作途中の挫折（モンスター）を打ち破ってください！","戦う→18",,,,,,,eat
18,battle,"理解度チェック：制作の挫折が襲いかかる！","執筆を続ける",挫折モンスター,8,6,19,bgm_battle.mp3,,
19,normal,"ついに最終段階「④Excelで大作を作る方法」です。\n\n数百行に及ぶ長編を作るなら、表計算ソフトでの編集が最も効率的です。","次へ→20",,,,,bgm_main.mp3,bg_excel.jpg,
20,normal,"Excelなどの表計算ソフトでルールCSVとシナリオCSVを開きます。\n\n文字化けする場合は、テキストエディタで「BOM付きutf-8」形式で上書き保存してから開きましょう。\n\n表計算ソフトのオートフィル機能を使えば、大量のパラグラフID振りも一瞬で終わります。","次へ→21",,,,,,,
21,normal,"注意点は保存形式です。\n必ず「CSV（コンマ区切り）」で保存してください。\nまた、文字コードがUTF-8であることも確認しましょう。\n\n保存後、テキストエディタで開きなおし、「BOM付きutf-8」を「(BOMなし)utf-8」に戻して上書きしておきましょう。","次へ→22",,,,,,,
22,normal,"effect列に「hp-5」（生命力を5減少）や「!eat」（休憩ポイントで食料を何食でも食べられる）を書き込むことで、複雑なゲーム性を追加できます。\n\nこれぞゲームブックの醍醐味です。\n\n詳細な記述ルールは、「STORYEM studio」内で確認できます。","次へ→23",,,,,,,
23,normal,"さあ、全ての知識は伝授されました。\n\n最後に「マスター・オブ・STORYEM」との最終決戦です！食料がまだ残っているなら、好きなだけ食べて回復しておきましょう。","決戦へ→24",,,,,,,!eat
24,battle,"最終試練：マスター・オブ・STORYEMが実力を試してくる！","全知識をぶつける",マスターSTORYEM,9,10,25,bgm_boss.mp3,,
25,end,"おめでとうございます！\nあなたはSTORYEMを完全にマスターしました。\nSTORYEMで、あなただけの物語を作り始めましょう。\n\nあなたに良い旅があらんことを！","物語を書き始める",,,,,bgm_main.mp3,bg_end.jpg,
