id,type,text,options,e_name,e_skill,e_hp,next,bgm,bgi,effect,,
1,normal,【あらすじ/Summary】\n薫は八の宮の娘たち、大君と中君への思慕を募らせます。秋の訪れと共に宇治の山里は物悲しさを増し、八の宮は自らの亡き後を案じて、娘たちを薫に託そうとします。\n\n【登場人物と年齢/Characters and Ages】\n薫（Kaoru）：20歳。出生の秘密を抱え、仏道に惹かれる貴公子。\n八の宮（Hachi no Miya）：50代。宇治で仏道修行に明け暮れる皇子。\n大君（Oigimi）：24歳。八の宮の長女。気高く、思慮深い。\n中君（Naka no Kimi）：22歳。八の宮の次女。優美で可憐。\n匂宮（Niou Miya）：21歳。今上帝の第三皇子。薫の親友であり好敵手。\n\n【見どころ/Highlights】\n宇治の自然描写と、死を予感する父の悲哀、そして若者たちの淡い恋心が交錯する叙情的な情景が見どころです。\n\n[Original] 薫の中将は、宇治の宮の姫君たちのことを、いかて、この世の常なきを思ひ知るべきよすがにせむと…。\n[Modern] 薫の中将は、宇治の宮の姫君たちを、何とかしてこの世の無常を悟る縁（よすが）にしたいと考えていました。\n[English] Kaoru sought to use his connection with the daughters of the Uji prince as a means to understand the impermanence of this world.,物語を読み進める (Continue the story)→2,,,,,court_peace.mp3,autumn_mist.jpg,,,
2,normal,"[Original] 秋深まりゆくままに、宇治の山里は、いよいよ心細きことのみ多かるを、八の宮は、例の行ひにのみ過ぐしたまふ。\n[Modern] 秋が深まるにつれて、宇治の山里はますます心細いことばかりが多くなりましたが、八の宮はいつものように勤行（ごんぎょう）ばかりして過ごしておられました。川霧が深く立ち込め、山鳥の声が寂しく響く中、宮は静かに経典を紐解き、来世への準備を進めておいでです。その姿は尊くもあり、またこの世から離れようとする孤独を感じさせるものでした。娘たちの将来を思う時だけ、その仏心にわずかな迷いが生じるのでした。\n[English] As autumn deepened, the mountain village of Uji grew increasingly desolate. Prince Hachi spent all his days in religious devotion. Immersed in the thick river mist and the lonely cries of mountain birds, he focused on his scriptures, preparing for the next world. Though his devotion was noble, his concern for his daughters' future remained the only tether to his earthly life.","八の宮のもとを訪ねる (Visit Prince Hachi)→3,前の場面へ (Previous scene)→1",,,,,temple_zen.mp3,river_mist.jpg,,,
3,normal,"[Original] 薫、宇治へ参りたまひて、宮と物語したまふ。折しも月いみじう明き夜なりけり。\n[Modern] 薫が宇治へ参上なさり、宮とお話しになります。ちょうど月がたいそう明るい夜のことでした。月光が板敷きを白く照らし、宇治川のせせらぎが夜の静寂の中に高く響いています。宮は薫に対し、自分が亡くなった後の娘たちの後ろ盾になってほしいと切実な思いを語ります。薫はその重い責任を感じつつも、宮の深い信頼に心を打たれ、固く約束を交わすのでした。二人の影が月明かりの下で長く伸び、運命の絆が結ばれていきます。\n[English] Kaoru visited Uji and conversed with the Prince on a night when the moon shone with extraordinary brilliance. The moonlight whitened the wooden verandas, and the sound of the Uji River echoed through the silence. The Prince earnestly asked Kaoru to protect his daughters after his death. Sensing the weight of this responsibility, Kaoru was moved by the Prince's trust and gave his solemn word. Beneath the moonlight, their shadows lengthened as a bond of fate was forged.","宮の言葉に耳を傾ける (Listen to the Prince)→4,前の場面へ (Previous scene)→2",,,,,moon_bgm.mp3,veranda_moon.jpg,,,
4,normal,"[Original] 宮、いといたう弱りたまひて、「わが亡き後、この人々の御ありさまこそ、いと思ひやられ侍れ」と聞こえたまふ。\n[Modern] 宮はたいそう弱りきってしまわれて、「私が死んだ後、この娘たちの身の上が、本当に思いやられて心配なのです」と申し上げなさいます。その声は震え、痩せ細った手は数珠を握りしめていました。高貴な身分でありながら、頼る当てもない山里に残される娘たちの将来を思うと、極楽往生を願う心も千々に乱れるのです。薫は宮の悲痛な親心を受け止め、誠実に応えようと心に誓いました。\n[English] The Prince, becoming very weak, said, 'I am deeply concerned about the future of these ladies after I am gone.' His voice trembled, and his thin hands clutched his prayer beads. Despite his noble status, the thought of leaving his daughters in this secluded village without a protector disturbed his spiritual focus. Kaoru took the Prince's sorrowful words to heart and vowed to respond with sincerity.","誠実を誓う (Vow sincerity)→5,前の場面へ (Previous scene)→3",,,,,sorrow_theme.mp3,old_prince.jpg,,,
5,battle,"[Original] 薫、御心のうちはかりがたく、さすがに大君の御影を忘るる世なく、煩ひたまふ。\n[Modern] 薫は、宮の願いを受け入れつつも、自身の心の中では大君への募る想いに苦悩し、葛藤なさいます。仏道を志す清らかな心と、女性を慕う執着の心が、彼の中で激しくぶつかり合います。八の宮からの信頼は厚いものの、それは同時に「後見人」としての義務であり、恋心とは相反する立場に彼を追い込みます。この心の乱れを鎮めなければ、真の意味で宮の期待に応えることはできません。薫は己の煩悩と対峙します。\n[English] Kaoru, while accepting the Prince's wish, struggled with his growing affection for Oigimi. His desire for spiritual purity clashed violently with his worldly attachments. The Prince's trust placed him in the role of a guardian, a position at odds with his romantic feelings. To truly honor the Prince's request, he had to overcome these inner distractions. Kaoru confronted his own worldly desires.",己の煩悩と戦う (Fight your desires),薫の煩悩 (Kaoru's Desires),5,10,6,battle_spirit.mp3,meditation.jpg,,,
6,normal,"[Original] 乱れし御心も、ようやく静まりて、宮の御前には、いとたふとき勤めなどしたまふ。\n[Modern] 乱れていたお心も、ようやく静まり、宮の御前では、たいそう尊い勤行などをお続けになります。葛藤を乗り越えた薫の表情には、以前にも増して凛とした美しさが漂っていました。八の宮もその様子を見て、一時の安心を得たようです。しかし、この平穏は長くは続きません。季節は容赦なく過ぎ去り、死の影は確実に宮の足元へと忍び寄っています。二人は静かな時間の中で、言葉にできない無常観を共有していました。\n[English] His troubled mind finally settled, and he performed his noble devotions before the Prince. Overcoming his inner conflict, Kaoru's expression became more serene and beautiful than ever. The Prince saw this and felt a temporary sense of relief. However, this peace was not to last. The seasons passed mercilessly, and the shadow of death crept steadily toward the Prince. In these quiet moments, they shared an unspoken sense of impermanence.","勤行を共にする (Join the devotion)→7,前の場面へ (Previous scene)→5",,,,,temple_zen.mp3,prayer_hall.jpg,,,
7,normal,"[Original] 折節、山の幸など参りて、いとあはれなる夕餉のまどひなり。\n[Modern] ちょうどその時、山の幸などが差し上げられて、たいそう趣深い夕食の集まりとなりました。質素ながらも丹精込めて用意された料理が並び、宇治の侘び住まいの中にも一時の温もりが生まれます。宮と薫、そして気配だけを感じさせる姫君たちの存在。秋の虫の声がBGMとなり、贅沢な京の宴とは異なる、精神的な豊かさに満ちたひとときです。薫は、この静かな幸せがいつまでも続かないことを予感しながら、一口ずつ料理を運びました。\n[English] At that moment, mountain delicacies were served, making for a most poignant evening meal. Though simple, the carefully prepared dishes brought a brief warmth to the desolate Uji residence. The Prince, Kaoru, and the hidden presence of the daughters shared this time. Accompanied by the songs of autumn insects, it was a moment filled with spiritual richness, unlike the extravagant banquets of the capital. Kaoru ate slowly, sensing that this quiet happiness would not last forever.","食事を共にする (Eat together)→8,前の場面へ (Previous scene)→6",,,,,peaceful_evening.mp3,autumn_meal.jpg,!eat,,
8,normal,"[Original] 八の宮、いよいよ心地重うなりたまひて、山寺へ入りたまふ。阿弥陀仏の御名を唱へつつ…。\n[Modern] 八の宮は、いよいよ気分が重くなられて、本格的な修行のために山寺へとお入りになります。阿弥陀仏の御名を一心に唱え続け、現世との縁を断ち切ろうとなさるのです。娘たちには「私が死んでも取り乱してはならない、この山里で静かに暮らしなさい」と遺言のような言葉を残されます。宇治川の轟音さえも、宮の唱える念仏にかき消されるほど、その決意は固く悲しいものでした。姫君たちは父の背中を、涙ながらに見送るしかありませんでした。\n[English] Prince Hachi's condition worsened, and he entered a mountain temple to devote himself fully to prayer. Reciting the name of Amida Buddha, he sought to sever his ties to this world. He left a will-like instruction to his daughters: 'Do not lose yourselves in grief after my death; live quietly here in this mountain village.' His resolve was so firm and sorrowful that his prayers seemed to drown out even the roar of the Uji River. The daughters could only watch their father's departure through their tears.","父を見送る (See the father off)→9,前の場面へ (Previous scene)→7",,,,,temple_mist.mp3,mountain_temple.jpg,,,
9,normal,"[Original] つひに宮は失せたまひぬ。宇治の山里は、悲しき叫びに包まれたり。\n[Modern] ついに八の宮は崩御なさいました。宇治の山里は、悲しい泣き声に包まれました。大君と中君の嘆きは例えようもなく、父を失った喪失感は山を抜ける風よりも冷たく彼女たちを突き刺します。薫は訃報を聞き、急いで宇治へと駆けつけますが、もはや言葉を交わすことは叶いません。あんなに熱心に説かれていた仏道の教えも、残された者たちにとっては、ただただ悲しみを深くする材料となってしまうのでした。季節は冬へと向かい、景色は一変していきます。\n[English] Finally, the Prince passed away. The mountain village of Uji was enveloped in sorrowful cries. The grief of Oigimi and Naka no Kimi was beyond description; the loss of their father pierced them more coldly than the wind through the mountains. Kaoru hurried to Uji upon hearing the news, but he could no longer exchange words with the Prince. The Buddhist teachings he had so earnestly preached now only deepened the sorrow of those left behind. As winter approached, the landscape began to change.","葬儀を執り行う (Conduct the funeral)→10,前の場面へ (Previous scene)→9",,,,,lament_theme.mp3,winter_river.jpg,,,
10,normal,"[Original] 匂宮も、宇治の姫君たちのことを聞き及ばして、心ゆかしく思ひたまふ。\n[Modern] 匂宮も、宇治の姫君たちの噂をお聞きになって、心が惹かれるのをお感じになります。薫とは対照的に、情熱的で行動派の匂宮は、まだ見ぬ宇治の美女たちに興味津々です。彼は薫に対し、「なぜあんな寂しいところに隠しておくのだ」と冗談交じりに詰め寄りますが、その瞳の奥には本気の色が混じっています。薫は親友の奔放な性格を知っているだけに、宮の遺言を守れるかどうか、新たな不安が胸に去来するのでした。恋の嵐が宇治に吹き荒れようとしています。\n[English] Niou Miya also heard rumors of the Uji princesses and felt his heart drawn to them. In contrast to the contemplative Kaoru, the passionate and impulsive Niou Miya was intensely curious about the beauties of Uji. He jokingly pressed Kaoru, asking, 'Why do you keep them hidden in such a lonely place?' but his eyes betrayed a serious interest. Knowing his friend's unrestrained nature, Kaoru felt a new anxiety about whether he could fulfill the late Prince's wishes. A storm of romance was about to blow through Uji.","匂宮の執心を警戒する (Be wary of Niou's obsession)→11,前の場面へ (Previous scene)→9",,,,,court_intrigue.mp3,capital_palace.jpg,,,
