id,type,text,options,e_name,e_skill,e_hp,next,bgm,bgi,effect
1,normal,"地下の封印洞窟に足を踏み入れた。\n\n通路は左の舗装された道・真ん中の闇の道・右の明るい廊下の３つに分かれている。","左へ進む→2,真ん中へ進む→11,右へ進む→3",,,,,bgm/bgm1.mp3,img/bgi1.png,
2,battle,"左の舗装された道を進んだ。床の一部がスイッチだったようで、うっかり踏んだことにより、壁に埋め込まれていた鉄製の自動兵が起動する。","破壊して進む",オートマン,6,6,3,bgm/bgm_battle.mp3,img/bgi2.png,
3,normal,"右の明るい廊下を進んだ。壁の棚に残された保存箱を見つけた。","開ける→31,無視する→4",,,,,bgm/bgm1.mp3,img/bgi3.png,
31,normal,"中には干し肉が入っていた！食料が１つ増えた。","先に進む→4",,,,,bgm/bgm_peace.mp3,img/bgi31.png,food+1
4,normal,"奥の扉には歪んだ封印文字が刻まれている。\nここは少し安全そうだ。","封印文字を力で押す→5,封印を読む→5",,,,,bgm/bgm_peace.mp3,img/bgi4.png,eat
5,normal,"封印洞窟の中央室に入った。その瞬間、巨大な影が天井から降り立つ。","構えを取る→6",,,,,bgm/bgm2.mp3,img/bgi5.png,
6,battle,"封印の番人である、身の丈３ｍのオーガが立ちはだかる。","番人を倒す",番人オーガ,7,7,7,bgm/bgm_battle.mp3,img/bgi6.png,
7,normal,"番人は崩れ落ち、奥に祭壇が現れた。\n一息つく暇がありそうだ。いっぱい食べても構わない。","祭壇を調べる→8,周囲を警戒する→9",,,,,bgm/bgm_peace.mp3,img/bgi7.png,!eat
8,normal,"祭壇の宝珠が淡く光る。","触れる→10,無視する→10",,,,,,img/bgi8.png,
9,normal,"背後から残存装置が作動した！\n青白い電光が通路を走る。","回避を試みる→91,強行突破を試みる→92",,,,,bgm/bgm_battle.mp3,img/bgi9.png,
91,normal,"君は間一髪で電光を潜り抜けた！\n装置は火花を散らして沈黙した。","先へ進む→10",,,,,bgm/bgm_peace.mp3,img/bgi91.png,
92,normal,"無理やり突破したが、電光が肩を焼いた！\n君は苦痛に顔を歪める。","痛みを堪えて進む→10",,,,,bgm/bgm_battle.mp3,img/bgi92.png,hp-5
10,end,"封印洞窟は静寂を取り戻した。\n\n君は再び洞窟を封印し、家路についた。\n\n君の目の黒いうちは、平和は保たれるだろう。","おわり",,,,,bgm/bgm_title.mp3,img/bgi10.png,
11,normal,"真ん中の闇の道を進むと、見覚えのある場所へ来た。最初の入り口ではないか！徒労のあまり、体力を4ポイント失う。","あたりを見回す→1",,,,,bgm/bgm2.mp3,img/bgi11.png,!hp-4
