id,type,text,options,e_name,e_skill,e_hp,next,bgm,bgi,effect,,
1,normal,"【あらすじと登場人物 / Synopsis and Characters】\n\n「若菜下」は源氏物語全五十四帖の中で最も劇的な転換点となる巻です。光源氏（41歳から47歳）の栄華は、ついに内側から崩れ始めます。紫の上（33歳から39歳）は重い病に伏し、死の淵を彷徨います。一方で、柏木（20代後半）は女三の宮（10代後半）への募る想いを抑えきれず、ついに密通という大罪を犯してしまいます。朱雀院の五十賀の祝宴という華やかな表舞台の裏で、個々人の運命が複雑に絡み合い、破滅へと突き進む様子が描かれます。\n\nSummary: 'Spring Shoots II' is a major turning point in the 54 chapters of Genji. Genji's (41-47) glory begins to crumble from within. Murasaki (33-39) lies critically ill, hovering between life and death. Meanwhile, Kashiwagi (late 20s) finally commits the ultimate sin of adultery with Princess Nyousan (late teens). Behind the scenes of Emperor Suzaku's 50th birthday celebrations, individual fates entwine and head toward ruin.\n\n見どころは、不義の証拠を見つけた源氏の冷徹な怒りと、罪の意識に押し潰される柏木の悲劇です。\nKey highlights include Genji's cold fury upon discovering the infidelity and Kashiwagi's tragic psychological collapse under the weight of guilt.",物語の深淵へ / Enter the depths of the tale→2,,,,,destiny.mp3,palace_gate.jpg,,,
2,normal,"【紫の上の衰弱 / Murasaki's Frailty】\n\n「いとど、この世を厭ふ御心のみまさりたまひて」紫の上の病状は一進一退を繰り返し、彼女の心はますます現世を離れ、出家を願うようになります。源氏は彼女を失うことを恐れ、仏道への入り口を頑なに塞ぎます。「限りあれば、今は仏の道に」という彼女の願いは、愛という名の執着によって拒まれ続けます。\n\nMurasaki's condition fluctuated, and her heart grew increasingly detached from this world, longing for Buddhist priesthood. Genji, terrified of losing her, stubbornly blocked her path to the religious life. Her wish to devote her final days to the Buddha was repeatedly denied by Genji's possessive love, which functioned as a spiritual shackle.\n\n源氏の愛が、かえって彼女を苦しめる皮肉な状況が続きます。\nIronically, Genji's very love becomes the source of her continued suffering.","加持祈祷を行う / Perform healing rites→3,若菜上を振り返る / Reflect on the previous chapter→1",,,,,sad_koto.mp3,murasaki_sickbed.jpg,,,
3,normal,"【朱雀院の五十賀 / Emperor Suzaku's 50th Birthday】\n\n出家した朱雀院の五十歳の賀が執り行われます。六条院では華やかな祝宴の準備が進められますが、源氏の心は病床の紫の上にあり、心からの喜びはありません。「世の中の、定まりなき行く末を思ひつづけたまふ」源氏は、かつての父・桐壺院の時代とは異なる、自分の時代の終わりの予感を感じていました。\n\nCelebrations for the 50th birthday of the abdicated Emperor Suzaku were held. While grand preparations were underway at Rokujo-in, Genji's mind remained with the ailing Murasaki, leaving him unable to feel true joy. He reflected on the uncertainty of the future, sensing the approaching end of his own era, so different from the days of his father, Emperor Kiritsubo.\n\n祝宴の料理は豪華ですが、どこか虚しさが漂います。\nThe feast is magnificent, but an air of emptiness lingers over the banquet hall.","饗宴の席につく / Take a seat at the feast→4,紫の上の元へ戻る / Back to Murasaki→2",,,,,court_music.mp3,banquet_hall.jpg,!eat,,
4,normal,"【柏木の狂気 / Kashiwagi's Madness】\n\n柏木は、女三の宮への想いを断ち切ることができず、食事も喉を通らない日々を過ごしていました。「身の上の、思ひ知らるる悲しさに」彼はついに、女三の宮の侍女・小侍従を抱き込み、手引きをさせます。それは、決して踏み越えてはならない一線、父のごとき源氏への裏切りを意味していました。\n\nKashiwagi, unable to sever his longing for Princess Nyousan, spent his days unable to eat. Consumed by a sorrow that made him realize his own wretchedness, he finally bribed the Princess's lady-in-waiting, Kojiju, to lead him to her. This was the crossing of a line—a total betrayal of Genji, who was like a father figure to him.\n\n情熱という名の悪魔が、彼の正気を奪っていきます。\nThe demon named passion is slowly stripping away his sanity.","密会を企てる / Plot a secret meeting→5,祝宴の喧騒へ戻る / Back to the noisy feast→3",,,,,tension.mp3,dark_corridor.jpg,,,
5,battle,"【理性と情熱の相克 / Conflict between Reason and Passion】\n\n柏木の心の中で、貴族としての矜持と、抑えがたい恋心が激突します。「あな、いみじ。いかなる御宿世にて」という言葉の裏には、破滅を予感しながらも止まれない男の悲哀がありました。彼は自らの良心と戦い、そして敗北します。\n\nWithin Kashiwagi's heart, his pride as a nobleman clashed with his uncontrollable love. Behind his words 'How extraordinary! What destiny led me here?' lay the sorrow of a man who could not stop even as he foresaw his own ruin. He battled his conscience and ultimately lost.\n\n自らの道徳心を敵として戦ってください。\nFight against your own sense of morality as your enemy.",運命を受け入れる / Accept fate,柏木の葛藤 (Kashiwagi's Conflict),7,15,6,heartbeat.mp3,shadow_room.jpg,,,
6,normal,"【密通の夜 / The Night of Infidelity】\n\n源氏が紫の上の看病のために別の御殿に詰めている隙を突き、柏木は女三の宮の寝所に忍び込みます。「あさましき、御宿世なり。かかるべきことなり」若く幼い女三の宮は、抗う術を知らず、ただ震えるばかりでした。この一夜が、後に源氏を震撼させる大きな事件の種となります。\n\nTaking advantage of Genji's absence while he tended to Murasaki in another wing, Kashiwagi slipped into Princess Nyousan's bedchamber. 'A wretched fate; it was destined to happen.' The young and naive Princess knew no way to resist and could only tremble. This single night would plant the seeds of a scandal that would later shake Genji to his core.\n\n静まり返った六条院の裏で、取り返しのつかない罪が犯されました。\nBehind the silent walls of Rokujo-in, an irreversible sin was committed.","夜明けを待つ / Wait for dawn→7,情動を抑える / Suppress the emotion→5",,,,,silent_night.mp3,princess_room.jpg,,,
7,normal,"【不義の子の懐妊 / Conceived in Sin】\n\n密通の後、女三の宮は懐妊します。彼女は恐怖に震え、源氏にその事実を知られることを恐れます。「心細き、御身のほどを思ひつづけたまふに」源氏は当初、老いらくの子の報せに喜びますが、次第に女三の宮の様子が不自然であることに気づき始めます。\n\nFollowing the secret encounter, Princess Nyousan became pregnant. She trembled with terror, fearing the moment Genji would discover the truth. She brooded over her lonely and precarious situation. At first, Genji rejoiced at the news of a child in his later years, but he gradually began to notice the Princess's unnatural behavior.\n\n疑惑の雲が、源氏の心に広がり始めます。\nA cloud of suspicion begins to spread through Genji's mind.","疑惑を深める / Deepen the suspicion→8,女三の宮を労わる / Comfort the Princess→9",,,,,ominous_wind.mp3,garden_autumn.jpg,,,
8,normal,"【決定的な証拠 / The Decisive Evidence】\n\nある日、源氏は女三の宮の座右にあった柏木からの手紙を見つけてしまいます。「あな、おそろし。かかることなりけむ」そこには、二人の密通を生々しく物語る言葉が綴られていました。源氏は、かつて自分が藤壺の宮と不義を犯した過去を思い出し、因果応報の恐ろしさに戦慄します。\n\nOne day, Genji discovered a letter from Kashiwagi left near Princess Nyousan. 'How terrifying! So this was the truth.' The words vividly recounted their infidelity. Genji was struck with terror as he recalled his own past sin with Empress Fujitsubo, realizing the frightening reality of karmic retribution.\n\n源氏の心は、怒りと悲しみ、そして恐怖で満たされます。\nGenji's heart is filled with anger, sorrow, and dread.","柏木と対峙する / Confront Kashiwagi→10,手紙を隠す / Hide the letter→7",,,,,heavy_atmosphere.mp3,secret_letter.jpg,,,
9,normal,"【六条院の寂寥 / Solitude in Rokujo-in】\n\n六条院の庭園では、秋の風が冷たく吹き抜けています。かつての輝きは失われ、美しさはどこか不吉な影を落としています。「秋の夕暮れ、いとどしき御物語に」源氏は一人、庭を眺めながら、自らの人生の積み重ねが崩れていく音を聞いていました。\n\nIn the gardens of Rokujo-in, the autumn wind blows cold. The former brilliance is lost, and the beauty now casts an ominous shadow. 'The autumn evening adds to the weight of their story.' Alone, Genji gazed at the garden, listening to the sound of his life's achievements crumbling.\n\n孤独を癒やすための食事も、今は砂を噛むような味わいです。\nEven the food meant to soothe his loneliness tastes like sand now.","孤独に耐える / Endure solitude→11,疑惑の部屋へ戻る / Back to the room of suspicion→8",,,,,lonely_flute.mp3,autumn_leaves.jpg,!eat,,
10,battle,"【源氏の冷徹な怒り / Genji's Cold Fury】\n\n源氏は柏木を呼び出し、表面上は穏やかに、しかし言葉の裏に鋭い刃を隠して語りかけます。「いかにぞ、近う参りて」その視線の冷たさに、柏木は蛇に睨まれた蛙のように動けなくなります。源氏は直接的な非難をせず、ただその存在を否定するかのような圧力をかけます。\n\nGenji summoned Kashiwagi and spoke with a calm exterior, yet hidden beneath his words was a sharp blade. 'Come closer, why do you hesitate?' Under that cold gaze, Kashiwagi was paralyzed like a frog eyed by a snake. Genji did not accuse him directly but exerted a pressure that seemed to negate his very existence.\n\n言葉の刃による、魂の削り合いです。\nIt is a battle of souls, fought with the blades of words.",沈黙を守る / Maintain silence,源氏の威圧 (Genji's Pressure),9,20,12,cold_anger.mp3,thron_room.jpg,,,
