id,type,text,options,e_name,e_skill,e_hp,next,bgm,bgi,effect
1,normal,君は深い霧に包まれた「霧の街」の入り口に立っている。この街には「見えない真実」が隠されているという。広場へ向かうか、路地裏を覗くか。,"広場へ行く→2,路地裏へ行く→3",,,,,bgm/mist_ambient.mp3,bgi/entrance.png,
2,normal,広場の中央には、立派な時計塔があるが、針は止まっている。こんな時計が壊れていること自体が異常だ。街全体の時間が止まっているかのようだ。地面には奇妙な「108」という数字が刻まれている。,"時計塔の中を調べる→4,街の奥へ進む→5,霧の街の入り口に戻る→1",,,,,bgm/mist_ambient.mp3,bgi/clock_tower.png,
3,normal,薄暗い路地裏で、一人の老人が壁に「999」と書き殴っている。彼は君を見ると不敵に笑い、霧の中に消えた。,老人の後を追う→6,,,,,bgm/mist_ambient.mp3,bgi/alley.png,
4,normal,時計塔の内部は埃まみれだ。机の上に「古びた日記」が置かれている。日記の 15 ページ目だけが破り取られているようだ。,"日記を取る→41,広場に戻る→2",,,,,bgm/mist_ambient.mp3,bgi/dusty_room.png,
41,normal,日記を手に入れた。よく見ると表紙には「真実は破られたページにのみ宿る」と記されていた。,広場に戻る→2,,,,,bgm/mist_ambient.mp3,bgi/dusty_room.png,item+diary
5,normal,街の奥には巨大な鉄の門がそびえ立っている。門には「三つの数字を唱えよ。失敗は許されない」と刻印されている。鍵穴は見当たらない。,"門を叩く→7,広場に戻る→2",,,,,bgm/mist_ambient.mp3,bgi/gate.png,
6,battle,老人を追ったが、見失ってしまった。\n\n代わりに霧の中から、記憶を喰らう魔物が姿を現した！こいつを倒さなければ先へは進めないようだ。,戦う,記憶の魔物,7,6,61,bgm/battle.mp3,bgi/fog_battle.png,
61,normal,魔物を退治した。結局、老人を完全に見失った。,路地を出る→1,,,,,bgm/mist_ambient.mp3,bgi/fog_battle,
7,normal,門はびくともしない。物理的な手段では開かないようだ。どうやら、この街は魔法で封印されてしまっているようだ。君はこの街を永遠に救えないのかもしれない。,広場に戻る→2,,,,,bgm/mist_ambient.mp3,bgi/gate.png,
15,normal,日記の表紙カバーに、膨らみがあることに気づく。カバーをはがすと、内側に折りたたまれたページが挟まれていた！どうやら、破られていた15ページ目のようだ。そこには「108は嘘だ。999こそが終焉だ。」という殴り書きがある。しかし、「真の救済はこのページと、最も幸運な3桁のそろった数字とが重なる先にある」にあるとも書かれている。これは何を意味するのだろうか？,広場へ戻る→2,,,,,bgm/mystery.mp3,bgi/secret_paper.png,
108,normal,床の数字に触れると、視界が歪んだ。そこには過去の街の幻影が映し出されている。驚くべき光景だ。不意に、思いが巡る。最も幸運な3桁の数字、それは「777」なのではないか、と。,広場へ戻る→2,,,,,bgm/mystery.mp3,bgi/phantom_city.png,
777,end,最も幸運な3桁のそろった数字 「777」 の数字を門の前で唱えた途端、足元が崩れ落ちる。そこは底なしの奈落だった。幸運な数字のはずではなかったのか？君の意識は後悔の念と共に、永遠の闇に飲み込まれていく。,おわり,,,,,bgm/bad_end.mp3,bgi/abyss.png,
792,normal,「真の救済はこのページと、最も幸運な3桁のそろった数字とが重なる先にある」\n\n君は破れたページの番号「15」と、最も幸運な3桁のそろった数字「777」を足し、「792」の数字を門の前で唱えた。\n\n門が開き、霧は晴れ、街は黄金の光に包まれて復活する。\n\n君は、街を救った英雄となった。しかし、何か心残りがある。君は冒険を終えることもできるが、物事を「逆さ」から見る時、真の「終焉」にたどり着くことができるだろう。,冒険を終え、シナリオの最初から遊ぶ→1,,,,,bgm/clear.mp3,bgi/golden_city.png,
666,battle,そう、君がふりかえると、見失った老人が、高笑いをしながら立っているではないか！\n\n君は剣を抜き、最後の戦いに挑む。,戦う,封印の魔王,8,6,794,bgm/battle.mp3,bgi/final_battle.png,
794,end,魔王は崩れ落ち、灰となった。\n\n君はあらためて、街の人々から讃えられ、迎え入れられた。\n\nこの戦いの記憶をとどめるよう、その日からこの街は「灰の街」と呼ばれるようになったという。,おわり,,,,,bgm/clear.mp3,bgi/golden_city.png,
999,end,老人の書き置きの 999 の数字を門の前で唱えた途端、足元が崩れ落ちる。そこは底なしの奈落だった。君の意識は永遠の闇に飲み込まれていく。,おわり,,,,,bgm/bad_end.mp3,bgi/abyss.png,
