id,type,text,options,e_name,e_skill,e_hp,next,bgm,bgi,effect,,
1,normal,"【あらすじ/Summary】\n\n光源氏の養女となった玉鬘に対し、多くの公達が求愛の文を寄せます。源氏は彼女の反応を楽しみつつ、自らも彼女に惹かれる心を抑えきれません。五月雨の降る夜、源氏は玉鬘のもとを訪れ、隠し持っていた蛍を放ちます。その微かな光に照らし出された玉鬘の美しさは、兵部卿宮を深く魅了しました。\n\n【登場人物/Characters】\n\n光源氏：36歳。玉鬘：22歳。兵部卿宮：源氏の弟。\n\n【見どころ/Highlights】\n\n蛍の光を用いた演出と、源氏による物語評論。 \n\nEnglish:\nThis chapter depicts the suitors flocking to Tamakazura. Genji, acting as her guardian, enjoys the chaos while harboring his own feelings. On a rainy night, he releases fireflies to illuminate her beauty for Prince Hyobukyo. This chapter is famous for the 'Firefly' scene and Genji's discourse on the nature of fiction.",次へ進む (Next)→2,,,,,court_music.mp3,genji_intro.jpg,,,
2,normal,"【原文/Original】\n\n五月雨のつれづれなるに、御前近く蛍を多く包ませて持てわたらせ給へり。玉鬘の君の御前、灯影いとほのかなり。「こは、いづちよりも」とて、御几帳の綻びより、蛍をふと放ち給へれば、かき消えたりつる光、あらはに、御几帳の内を照らし出でたり。\n\n【現代語訳/Modern Japanese】\n\n五月雨が降り続く退屈な折、源氏は蛍をたくさん包ませて玉鬘のもとへ向かいました。彼女の部屋は灯火がかすかに灯る程度です。「これはどこから来たのでしょう」と言いながら、源氏は几帳の隙間から蛍を放ちました。消えかかっていた光が一斉に放たれ、几帳の内側に座る玉鬘の姿を鮮やかに照らし出しました。\n\n【English】\n\nDuring the tedious rains of the fifth month, Genji visited Tamakazura with many fireflies wrapped in a cloth. Her room was dimly lit. 'Where could these have come from?' he asked, and suddenly released the fireflies through a gap in her screen. The lights, which had seemed extinguished, flared up and illuminated the inner sanctuary where she sat.","庭を眺める (Look at the garden)→3,前の場面へ (Previous)→1",,,,,rain_ambient.mp3,veranda.jpg,,,
3,normal,"【原文/Original】\n\n兵部卿宮、例の忍びてものし給へるに、かの蛍の光、ふと見えければ、いとあやしく、何ならむと思ほしつつ見給ふ。玉鬘の君は、いとはしたなき心地して、扇をさし隠し給へるさま、いとをかし。\n\n【現代語訳/Modern Japanese】\n\n忍んで訪れていた兵部卿宮は、突然現れた蛍の光に驚き、不審に思いながらも注視しました。玉鬘は、突然の光に照らされて極めてきまりの悪い思いをし、扇で顔を隠しました。その仕草や佇まいは、言葉に尽くせぬほど風情があり、見る者の心を揺さぶるものでした。\n\n【English】\n\nPrince Hyobukyo, who was visiting in secret as usual, was startled by the sudden glow of the fireflies. He wondered what it could be and watched intently. Tamakazura felt terribly embarrassed by the exposure and quickly hid her face behind a fan. The sight of her in that moment was indescribably charming and elegant.","和歌を詠む (Compose a poem)→4,前の場面へ (Previous)→2",,,,,night_ambient.mp3,fireflies.jpg,,,
4,normal,"【原文/Original】\n\n「声はせで 身をのみ焦がす 蛍こそ 言ふより勝る 思ひなるらめ」と、宮は聞こえ給ふ。源氏の君は、すこし遠ざかりて、このありさまを見守り給ふ。心の内には、えならぬ愛敬の添へるを、思ひ比べ給ふに、紫の上の御美しさに並ぶべきものなしと思ほす。\n\n【現代語訳/Modern Japanese】\n\n「声は出さずとも、この身を焦がして光る蛍こそ、言葉で愛を語る者よりも深い思いを抱いているのでしょう」と宮は詠みかけます。源氏は少し離れた場所から、この様子を観察していました。玉鬘の美しさを認めつつも、心の中ではやはり最愛の紫の上の美しさこそが至高であると比較せずにはいられませんでした。\n\n【English】\n\n'The firefly burns its body in silence, a love perhaps deeper than that expressed in words,' the Prince offered in verse. Genji watched the scene from a distance. Though he admired Tamakazura's grace, in his heart he compared her to Murasaki, concluding that nothing could match Murasaki's peerless beauty.","休息をとる (Take a rest)→5,前の場面へ (Previous)→3",,,,,koto_music.mp3,screen.jpg,,,
5,normal,"【休息/Rest】\n\n六条院の夏の庭は、涼やかな風が通り抜けます。玉鬘は慌ただしい求愛の応酬に疲れ、しばしの休息をとることにしました。女房たちが用意した涼しげな菓子と冷たい飲み物が、彼女の心を落ち着かせます。\n\n【English】\n\nThe summer gardens of Rokujo-in allow a cool breeze to pass through. Exhausted by the incessant courtship, Tamakazura decided to take a short rest. The refreshing sweets and cold drinks prepared by her ladies-in-waiting calmed her spirit.","次へ進む (Next)→6,前の場面へ (Previous)→4",,,,,garden_breeze.mp3,summer_room.jpg,!eat,,
6,battle,"【心の葛藤/Internal Conflict】\n\n玉鬘の心の中では、実の父である内大臣への思慕と、養父でありながら恋情を向けてくる源氏への戸惑いが渦巻いています。彼女は自分を律しようとしますが、周囲の期待と現実の板挟みに遭い、精神的な戦いを強いられます。\n\n【English】\n\nWithin Tamakazura's heart, a conflict rages between her longing for her real father, the Minister of the Interior, and her confusion toward Genji, who acts as her guardian yet displays romantic affection. She struggles to maintain her composure amidst social expectations.",自分を律する (Discipline oneself),心の迷い (Inner Hesitation),8,10,7,battle_theme.mp3,inner_mind.jpg,,,
7,normal,"【物語論/On the Tale】\n\n源氏は、物語に耽溺する玉鬘を見て、物語というものの意義について語り始めます。「世の中に語り継がれる物語には、真実が含まれている。単なる嘘ではなく、人間の本質を写し取るものなのだ」という源氏の言葉は、日本最古の文芸批評として名高い場面です。\n\n【English】\n\nSeeing Tamakazura engrossed in illustrated romances, Genji begins to discuss the significance of fiction. He argues that tales are not merely lies, but contain truths that reflect human nature. This discourse is famous as the earliest form of literary criticism in Japan.","さらに詳しく聞く (Listen more)→8,前の場面へ (Previous)→6",,,,,philosophical.mp3,library.jpg,,,
8,normal,"【原文/Original】\n\n「物語とて、人の心を動かすもの、いと多かり。これ、ただ虚言とのみ思ふべきにあらず。仏の教へも、方便とて、真実の道へ導くものなり。物語もまた、世のありさまを書きとどめて、後の世に伝ふるものなれば」と、源氏は深く語り給ふ。\n\n【現代語訳/Modern Japanese】\n\n「物語といって、人の心を動かすものは実に多い。これらを単なる作り話だと思うべきではない。仏の教えも、方便といって真実へ導くための手段である。物語もまた、世の中のありのままを書き留め、後世に伝える役割があるのだ」と源氏は深く語りました。\n\n【English】\n\n'Many tales move the human heart deeply,' Genji spoke profoundly. 'One should not dismiss them as mere fabrications. Just as the Buddha's teachings use parables to lead one to truth, romances record the state of the world to pass it on to future generations.'","庭を歩く (Walk in the garden)→9,前の場面へ (Previous)→7",,,,,meditative.mp3,veranda_day.jpg,,,
9,normal,"【六条院の夏/Summer at Rokujo-in】\n\n六条院の夏の町では、蓮の花が池に咲き誇り、水鳥が羽を休めています。源氏は、かつての夕顔との悲劇的な恋を玉鬘に重ねつつ、彼女を政治的な駒としてではなく、一人の女性として大切にしたいと願うのでした。しかし、その想いは複雑に絡み合っています。\n\n【English】\n\nIn the Summer Quarter of Rokujo-in, lotus flowers bloom in the pond and waterfowls rest their wings. Genji overlaps his tragic past love for Yugao with Tamakazura, wishing to cherish her as a woman rather than a political pawn. However, his feelings remain intricately tangled.","奥へ進む (Go deeper)→10,前の場面へ (Previous)→8",,,,,nature_ambient.mp3,lotus_pond.jpg,,,
10,battle,"【源氏の誘惑/Genji's Temptation】\n\n源氏は冗談めかしながらも、玉鬘に近づき、その手を握ります。養父としての節度を守るべき理性を、彼女への情熱が脅かします。この瞬間、源氏自身の心の中で道徳と欲望が激しくぶつかり合います。\n\n【English】\n\nGenji approaches Tamakazura with a jest, but takes her hand. His passion threatens the reason that dictates he should maintain decorum as her guardian. At this moment, morality and desire clash violently within Genji's own heart.",理性を保つ (Maintain reason),抑えきれぬ情熱 (Unstoppable Passion),9,12,11,tension.mp3,dark_room.jpg,,,
