id,type,text,options,e_name,e_skill,e_hp,next,bgm,bgi,effect,,
1,normal,"【あらすじと登場人物 / Synopsis and Characters】\n\n光源氏の栄華が頂点に達する「若菜上」の物語。源氏（39歳から41歳）は准太上天皇の待遇を受け、六条院で贅を尽くした生活を送っています。物語の主軸は、出家を願う朱雀院の末娘・女三の宮の降嫁です。紫の上（31歳から33歳）は正妻の座を脅かされ、心に深い影を落とします。また、柏木が女三の宮に恋心を抱く不穏な兆しも描かれます。\n\nSummary: Genji (39-41) enjoys supreme glory at Rokujo-in. The main plot follows the marriage of the young Princess Nyousan, daughter of the abdicated Emperor Suzaku, to Genji. Murasaki (31-33) suffers from the threat to her position. Meanwhile, Kashiwagi develops a forbidden longing for the Princess.\n\n見どころは、華やかな四十賀の祝宴と、その裏で揺れ動く女性たちの心理描写です。\nKey highlights include the lavish 40th birthday celebrations and the complex inner turmoil of the women.",六条院へ進む / Enter Rokujo-in→2,,,,,miyabi.mp3,palace_hall.jpg,,,
2,normal,"【朱雀院の憂慮 / Emperor Suzaku's Anxiety】\n\n「いづれの御時にか、女三の宮を、かかるべき御宿世にて、人なみなみにものしたまはむ」朱雀院は出家を前に、後ろ盾のない女三の宮の将来を深く案じていました。彼は有力な公卿たちを検討しましたが、結局、最も信頼の置ける弟・光源氏に娘を託すことを決意します。\n\nEmperor Suzaku, preparing for priesthood, worried deeply about his young daughter, Nyousan. He considered various suitors but ultimately decided to entrust her to his dependable brother, Genji. This decision, though made out of parental love, would soon disrupt the delicate peace of Genji's household.\n\n源氏は渋りますが、兄の懇願を断れず、承諾します。これが悲劇の幕開けとなります。\nGenji hesitated but could not refuse his brother's earnest request. This consent marked the beginning of a long tragedy.","紫の上の部屋へ / Go to Murasaki's room→3,朱雀院を回想する / Reflect on Emperor Suzaku→1",,,,,court_music.mp3,garden_night.jpg,,,
3,normal,"【紫の上の苦悩 / Murasaki's Distress】\n\n「世の中の常なきを、いとどしき御物語にて」紫の上は、源氏が新たな正妻として皇女を迎えることを知り、表面上は穏やかに振る舞いながらも、内心は激しく動揺します。長年築き上げてきた自分の地位と、源氏との絆が揺らぐ恐怖。彼女は静かに写経に打ち込み、心を落ち着かせようとします。\n\nMurasaki, hearing of the arrival of the Imperial Princess as a formal wife, maintained a calm exterior but was internally devastated. The security she had built over years felt threatened. She turned to copying sutras, seeking solace in religious devotion while masking her profound jealousy and sadness.\n\n源氏は彼女を慰めますが、その言葉さえも紫の上には虚しく響くのでした。\nGenji tried to comfort her, but his words rang hollow in her ears.","食事で心を癒やす / Comfort the soul with food→4,源氏と対話する / Talk with Genji→5,入り口へ戻る / Return to start→2",,,,,sad_koto.mp3,murasaki_room.jpg,!eat,,
4,normal,"【六条院の饗宴 / Feast at Rokujo-in】\n\n春の穏やかな日、六条院では豪華な食事が振る舞われました。色とりどりの果物、美しく盛り付けられた強飯、そして香り高い酒。平安貴族の優雅な食文化がここにあります。「いと清らなる御膳を、人々にあまたまかなひ」\n\nOn a peaceful spring day, a lavish feast was served at Rokujo-in. There were colorful fruits, beautifully presented rice dishes, and fragrant sake. The elegance of Heian aristocratic food culture was on full display, momentarily distracting the residents from their private sorrows.\n\n心尽くしの料理を前に、ひとときの安らぎを得ることができます。\nYou find a moment of peace before the heartfelt dishes prepared by the servants.","紫の上の部屋へ戻る / Back to Murasaki's room→3,庭を散策する / Stroll through the garden→6",,,,,festive.mp3,banquet.jpg,!eat,,
5,battle,"【内なる嫉妬との戦い / Battle with Inner Jealousy】\n\n紫の上の心の中で、誇りと嫉妬が激しくぶつかり合います。若く高貴な女三の宮に対する複雑な感情が、彼女の心を蝕んでいきます。「思ひ乱るる心地して」この葛藤に打ち勝たねば、彼女の精神は崩壊してしまいます。\n\nInside Murasaki's heart, pride and jealousy clashed violently. Her complex feelings toward the young and noble Nyousan began to erode her spirit. She must struggle against these dark emotions to maintain her dignity and sanity.\n\n形のない不安という敵に立ち向かってください。\nFace the invisible enemy of anxiety and insecurity.",立ち向かう / Confront,紫の上の憂い (Sorrow),7,12,6,melancholy.mp3,murasaki_inner.jpg,,,
6,normal,"【蹴鞠の庭 / The Cuju Match】\n\n三月の末、六条院の庭で若者たちが蹴鞠に興じています。柏木や夕霧たちが、桜の木の下で汗を流しています。「いと若やかに、をかしきさまなる人々」そこへ、ふとした風の悪戯で、女三の宮の姿が御簾の隙間から露わになってしまいます。\n\nAt the end of the third month, young nobles enjoyed a Cuju (football) match in the garden. Kashiwagi and Yugiri were among them. Suddenly, a stray cat pulled back a curtain, revealing Princess Nyousan to the onlookers outside.\n\n柏木はその美しさに心を奪われ、禁断の恋に落ちてしまいます。\nKashiwagi was instantly captivated by her beauty, falling into a forbidden love.","柏木の視線を追う / Follow Kashiwagi's gaze→7,紫の上の元へ戻る / Back to Murasaki→3",,,,,spring_breeze.mp3,garden_cherry.jpg,,,
7,normal,"【柏木の執着 / Kashiwagi's Obsession】\n\n「あな、いみじ。いかなる御宿世にて、かくは拝見しつらむ」一度見た女三の宮の姿が、柏木の脳裏から離れません。彼は親友の夕霧にその思いを吐露しますが、相手が源氏の妻であることを考えれば、それは許されざる恋でした。\n\n'How extraordinary! By what fate was I allowed to see her?' Kashiwagi could not erase the image of the Princess from his mind. He confessed his feelings to his friend Yugiri, knowing well that loving Genji's wife was a dangerous transgression.\n\n彼は次第にやつれ、恋の病に侵されていきます。\nHe gradually grew thin, consumed by the sickness of unrequited, forbidden love.","夕霧と語る / Talk with Yugiri→8,蹴鞠の庭へ戻る / Back to the garden→6",,,,,longing.mp3,kashiwagi_room.jpg,,,
8,normal,"【夕霧の忠告 / Yugiri's Warning】\n\n夕霧は柏木の様子を危惧します。「さらぬだに、世のそらごとは多かるを」彼は、父・源氏の権威と、不義密通がもたらす破滅を説き伏せようとします。しかし、柏木の情熱はすでに止めることができないほどに燃え上がっていました。\n\nYugiri feared for his friend. He warned Kashiwagi about his father Genji's authority and the ruin that follows adultery. However, Kashiwagi's passion had already reached a point beyond reason, ignoring the peril that lay ahead.\n\n運命の歯車は、静かに、しかし確実に回り始めています。\nThe gears of fate are turning quietly but surely.","四十賀の準備へ / Prepare for the celebrations→9,柏木の部屋へ戻る / Back to Kashiwagi→7",,,,,heavy_air.mp3,yugiri_office.jpg,,,
9,normal,"【源氏四十賀の祝宴 / Genji's 40th Birthday】\n\n源氏の四十歳を祝う行事が盛大に行われます。玉鬘や秋好中宮ら、ゆかりの人々から豪華な贈り物が届きます。「いとどしく、世の栄えのみまさりたまふ」源氏の権勢は今や最高潮に達し、六条院は黄金色の輝きに包まれています。\n\nA grand ceremony celebrated Genji's 40th birthday. Lavish gifts arrived from Tamakazura and Empress Akikono-mu. Genji's power was at its zenith, and Rokujo-in was bathed in a golden glow of prosperity and honor.\n\nしかし、この栄華の裏には、老いと死の影が忍び寄っています。\nYet, behind this splendor, the shadows of aging and mortality began to creep in.","祝宴に参加する / Join the feast→10,紫の上の様子を見る / Check on Murasaki→11",,,,,grand_orchestra.mp3,golden_hall.jpg,,,
10,normal,"【音楽の夕べ / An Evening of Music】\n\n祝宴の余興として、最高の奏者たちが集まりました。源氏の琴、夕霧の笛、そして柏木の和琴。「よろづの物の音、一つに響きあひて」その完璧な調和は、聴く者すべてを極楽浄土へと誘うかのようでした。\n\nAs part of the festivities, the finest musicians gathered. Genji played the koto, Yugiri the flute, and Kashiwagi the Japanese lute. The perfect harmony of their instruments seemed to transport the listeners to a heavenly realm.\n\n音楽の美しさが、人々の心のわだかまりを一瞬だけ消し去ります。\nThe beauty of the music momentarily dissolved the grudges and worries in people's hearts.","柏木の音色を聞く / Listen to Kashiwagi→12,準備へ戻る / Back to preparation→9",,,,,koto_session.mp3,music_room.jpg,!eat,,
