id,type,text,options,e_name,e_skill,e_hp,next,bgm,bgi,effect
1,normal,"君は「鉄指杯」の舞台に立った。対戦相手が不敵に笑う。まずは一回戦、巨漢の剛指だ。\n\n你站在了「铁指杯」的舞台上。对手露出了无畏的笑容。第一轮是对阵巨汉刚指。\n\nYou stand on the 'Iron Finger Cup' stage. Your opponent smiles boldly. First round: the hulking Strong-Finger.","懐に潜り込む / 钻入怀中 / Dive into the chest→2,上から抑え込む / 从上方压制 / Press down from above→3",,,,,bgm_wait.mp3,locker.jpg,""
2,normal,"低い位置から揺さぶりをかける。相手はバランスを崩した！\n\n从低位发动晃动。对方失去了平衡！\n\nYou shake from a low position. The opponent lost their balance!","一気に指を倒す / 一口气压倒 / Pin the thumb at once→4",,,,,bgm_match.mp3,stadium.jpg,"luck+1"
3,normal,"力任せに抑えようとしたが、相手のパワーに押し返された！\n\n试图凭蛮力压制，却被对方的力量顶了回来！\n\nYou tried to overpower him, but his strength pushed you back!","体勢を立て直す / 重整姿态 / Recover your stance→4",,,,,bgm_match.mp3,stadium.jpg,"hp-2"
4,battle,"もつれ合う親指！ここからは地力の勝負だ。\n\n纠缠在一起的大拇指！接下来是实力的较量。\n\nThumbs intertwined! Now it is a contest of raw strength.","渾身の力で押し込む / 全力推入 / Push with all your might",剛指のガンプ / 刚指甘普 / Gunp of Strong Finger,7,6,5,bgm_battle.mp3,stadium.jpg,""
5,normal,"一回戦突破だ。控室でエネルギーを補給できる。\n\n第一轮突破。可以在休息室补充能量。\n\nFirst round cleared. You can recharge in the waiting room.","弁当を食べる / 吃便当 / Eat lunch→6,準決勝へ向かう / 前往半决赛 / Head to the semi-finals→7",,,,,bgm_wait.mp3,locker.jpg,"eat"
6,normal,"腹ごしらえは済んだ。指の感覚が研ぎ澄まされる。\n\n填饱了肚子。手指的感觉变得敏锐。\n\nYou finished your meal. Your finger senses are sharpened.","準決勝へ向かう / 前往半决赛 / Head to the semi-finals→7",,,,,bgm_wait.mp3,locker.jpg,"luck+1"
7,normal,"準決勝の相手は「風の指」の異名を持つ技巧派だ。高速で指を動かしてくる。\n\n半决赛对手是绰号「风之指」的技术派。指法极快。\n\nThe semi-final opponent is a stylist known as 'Wind Finger'. Moving at high speed.","動きをじっと見切る / 识破动作 / Read the movements→8,デタラメに振り回す / 胡乱挥动 / Swing wildly→9",,,,,bgm_match.mp3,stadium.jpg,""
8,normal,"相手の動きの法則を見抜いた！隙を突いて指を捉える。\n\n看透了对方的动作规律！抓住破绽捉住手指。\n\nYou saw through the pattern! Seize the thumb in a gap.","関節を極める / 锁住关节 / Lock the joint→10",,,,,bgm_match.mp3,stadium.jpg,""
9,normal,"翻弄されて指が吊りそうだ！\n\n被玩弄于股掌之间，手指快抽筋了！\n\nYou are being toyed with, your finger is about to cramp!","痛みを堪えて食らいつく / 忍痛坚持 / Endure the pain and hold on→10",,,,,bgm_match.mp3,stadium.jpg,"hp-3"
10,battle,"指が複雑に絡み合う。どちらの指が先に折れるか、死闘が始まった。\n\n手指复杂地交织在一起。死斗开始了。\n\nThumbs are intricately locked. A death match has begun.","指をロックする / 锁死手指 / Lock the thumb",技巧のレイ / 技巧之雷 / Ray the Technician,8,8,11,bgm_battle.mp3,stadium.jpg,""
11,normal,"ついに決勝戦。相手は伝説の「黄金の親指」。その威圧感に圧倒される。\n\n终于到了决赛。对手是传说的「黄金大拇指」。\n\nFinally, the finals. The opponent is the legendary 'Golden Thumb'.","気合を入れる / 注入斗志 / Get fired up→12",,,,,bgm_final.mp3,final_ring.jpg,"!eat"
12,normal,"最後の駆け引きだ。相手は微動だにしない。\n\n最后的博弈。对方纹丝不动。\n\nThe final tactic. The opponent does not budge an inch.","フェイントをかける / 使出假动作 / Use a feint→13,全力の真っ向勝負 / 全力正面决胜 / Full-on head-to-head battle→14",,,,,bgm_final.mp3,final_ring.jpg,""
13,normal,"フェイントは見破られた！強烈なカウンターを食らう。\n\n假动作被看穿了！遭到了强烈的反击。\n\nThe feint was seen through! You take a powerful counterattack.","最後まで諦めない / 绝不放弃 / Do not give up until the end→15",,,,,bgm_final.mp3,final_ring.jpg,"!hp-5"
14,normal,"正々堂々の勝負に観客が沸く。力が均衡している！\n\n堂堂正正的对决让观众沸腾。力量旗鼓相当！\n\nThe crowd cheers for a fair fight. Powers are balanced!","限界を超えて押す / 超越极限压制 / Push beyond limits→15",,,,,bgm_final.mp3,final_ring.jpg,"luck-2"
15,battle,"指と指が火花を散らす。これが真の指相撲だ！\n\n指尖迸发火花。这才是真正的扳手指！\n\nFingers spark against each other. This is true thumb wrestling!","鉄の指を叩きつける / 铁指扣击 / Slam the iron finger",黄金の親指 / 黄金大拇指 / The Golden Thumb,9,10,16,bgm_climax.mp3,final_ring.jpg,""
16,normal,"黄金の親指を倒し、伝説となった君。だが平和は続かなかった。黒指組に師匠を殺された君は、山に籠もり『親指一本で逆立ちして寝る』という狂気の修行を完遂した。岩のように硬化したその指は、もはや人間のそれではない。師匠の仇を討つため、裏の闘技場へ……。\n\n打倒了黄金大拇指，你成为了传说。但和平并未持续。师傅被「黑指组」杀害后，你躲进深山，完成了『仅靠大拇指倒立睡觉』的狂气修行。那根硬如磐石的手指已不再是常人的手指。为了报仇，你前往地下竞技场……。\n\nYou defeated the Golden Thumb and became a legend. But peace was brief. After your master was killed by the 'Black Finger' syndicate, you retreated to the mountains and completed a mad training regimen: 'sleeping in a handstand on a single thumb.' Your thumb, hardened like rock, is no longer human. To avenge your master, you head to the underground arena...","地下世界へ足を踏み入れる / 踏入地下世界 / Step into the underworld→17",,,,,bgm_dark.mp3,slum.jpg,"skill+2,max_hp+10,hp+10"
17,normal,"裏の大会「黒指杯」。最初の相手は「摩擦ゼロの滑男」だ。特殊なオイルで君の指がすり抜ける！\n\n地下大会「黑指杯」。第一个对手是「零摩擦的滑男」。特殊的油脂让你的手指不断滑脱！\n\nUnderground tournament 'Black Finger Cup'. First foe is 'Zero-Friction Namo'. Special oil makes your thumb slip away!","滑りを読み切り、横から挟む / 看透滑动并从侧面夹住 / Read the slip and pinch from the side→18,力任せに抑え込む / 凭蛮力压制 / Overpower with raw strength→19",,,,,bgm_match2.mp3,dark_arena.jpg,""
18,normal,"滑る軌道を完全に読み切った！逃げ場をなくした指を捉える。\n\n完全看透了滑动的轨迹！捉住了无处可逃的手指。\n\nYou read the slip trajectory perfectly! Catch the thumb with nowhere to run.","関節を固める / 锁紧关节 / Lock the joint→20",,,,,bgm_match2.mp3,dark_arena.jpg,"skill+1"
19,normal,"力で押そうとするが、面白いように滑らされる。無駄に体力を消耗した！\n\n试图用力压制，却被巧妙地滑开了。徒劳地消耗了体力！\n\nYou try to push with force, but get slipped away easily. Wasted your stamina!","食らいつく / 紧追不舍 / Hold on tight→20",,,,,bgm_match2.mp3,dark_arena.jpg,"hp-3"
20,battle,"オイルまみれの指をねじ伏せろ！復讐の第一歩だ。\n\n将涂满油脂的手指拧倒！复仇的第一步。\n\nPin down that oil-covered thumb! The first step of revenge.","指を固定する / 固定手指 / Fix the finger",滑り指の滑男 / 滑指滑男 / Slippery Namo,8,10,21,bgm_battle2.mp3,dark_arena.jpg,""
21,normal,"次に現れたのは、通常の倍の長さを持つ「長指の蛇」。リーチの差で翻弄される！\n\n接下来出现的是拥有正常两倍长度的「长指之蛇」。因距离差被玩弄于股掌！\n\nNext comes 'Long-Finger Snake', with thumbs twice the normal length. Toyed with by the reach advantage!","懐に飛び込む / 冲入怀中 / Rush into the chest→22,指の根元を狙う / 瞄准指根 / Aim for the base of the thumb→23",,,,,bgm_match2.mp3,dark_arena.jpg,"!eat"
22,normal,"至近距離まで踏み込んだ！長い指は近くの攻撃に弱い。\n\n踏入了最近距离！长手指对近身攻击很弱。\n\nYou stepped into close range! Long fingers are weak against close attacks.","一気にねじ倒す / 一口气拧倒 / Twist him down→24",,,,,bgm_match2.mp3,dark_arena.jpg,"luck+1"
23,normal,"リーチを逆手に取り、支点となる根元に負荷をかける！\n\n反过来利用射程，向作为支点的根部施加负荷！\n\nUsing the reach against him, you apply pressure to the base!","トドメの指圧 / 最后一击的指压 / Final acupressure→24",,,,,bgm_match2.mp3,dark_arena.jpg,"hp-2"
24,battle,"鞭のようにしなる奇怪な指。これを折らねば先へは進めない。\n\n像鞭子一样弯曲的奇怪手指。不折断它就无法前进。\n\nA bizarre finger flexing like a whip. You must break it to move forward.","絡め取る / 缠住 / Entangle",長指の蛇 / 长指之蛇 / Long-Finger Snake,9,12,25,bgm_battle2.mp3,dark_arena.jpg,""
25,normal,"決勝戦。現れたのは液体金属の指を持つ男「Ｔ」。師匠を葬った張本人だ。どんな攻撃も形を変えて受け流される。\n\n决赛。出现的拥有液体金属手指的男人「Ｔ」。正是埋葬师傅的元凶。任何攻击都会被他改变形状化解。\n\nThe finals. A man with liquid metal thumbs, 'T', appears. The very one who killed your master. Every attack is parried by his shifting form.","師匠の形見の指輪をはめる / 戴上师傅的遗物戒指 / Wear the master's keepsake ring→26,魂のフルパワーで押す / 用灵魂的全开力量压制 / Push with full soul power→27",,,,,bgm_final2.mp3,dark_throne.jpg,""
